person_age,person_income,person_emp_length,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,person_income_log,person_home_ownership_MORTGAGE,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE
23,120000,0.0,0,35000,7.9,0,0.29,0,4,11.695255355062795,False,False,False,True,False,True,False,False,False,False
23,92111,7.0,5,35000,20.25,1,0.32,0,4,11.430760506915592,False,False,False,True,False,False,False,True,False,False
23,113000,8.0,3,35000,18.25,1,0.31,0,4,11.635151947212842,False,False,False,True,True,False,False,False,False,False
24,10800,8.0,1,1750,10.99,1,0.16,0,2,9.287394001418473,True,False,False,False,False,True,False,False,False,False
25,162500,2.0,0,35000,7.49,0,0.22,0,4,11.998439434579149,False,False,False,True,False,False,False,False,False,True
25,137000,9.0,4,34800,16.77,0,0.25,1,2,11.827743504053695,False,False,False,True,False,False,False,False,True,False
22,65000,4.0,3,34000,17.58,1,0.52,0,4,11.082157933374816,False,False,False,True,False,True,False,False,False,False
24,10980,0.0,0,1500,7.29,0,0.14,0,3,9.303921785597714,False,False,True,False,False,False,False,False,True,False
22,80000,3.0,3,33950,14.54,1,0.42,1,4,11.289794413577894,False,False,False,True,False,False,False,False,True,False
24,67746,8.0,2,33000,12.68,1,0.49,0,3,11.123535457318734,False,False,False,True,False,False,True,False,False,False
21,11000,3.0,4,4575,17.74,1,0.42,1,3,9.305741456739435,True,False,False,False,False,False,False,False,False,True
23,11000,0.0,0,1400,9.32,0,0.13,0,3,9.305741456739435,False,False,True,False,False,False,False,False,True,False
24,65000,6.0,1,32500,9.99,1,0.5,0,3,11.082157933374816,False,False,False,True,False,False,True,False,False,False
21,11389,5.0,2,4000,12.84,1,0.35,1,2,9.340491056441229,False,True,False,False,False,True,False,False,False,False
21,11520,5.0,1,2000,11.12,1,0.17,0,3,9.351926736038054,False,False,True,False,False,False,False,True,False,False
25,120000,2.0,0,32000,6.62,0,0.27,0,2,11.695255355062795,False,False,False,True,False,False,False,False,False,True
26,95000,7.0,2,31050,14.17,1,0.33,1,3,11.461642696843066,False,False,False,True,False,False,True,False,False,False
25,306000,2.0,2,24250,13.85,0,0.08,0,3,12.631343648903034,False,False,False,True,True,False,False,False,False,False
26,300000,10.0,2,7800,13.49,0,0.03,0,4,12.611541086966115,True,False,False,False,False,False,False,True,False,False
21,12000,5.0,0,2500,7.51,1,0.21,0,4,9.392745258631441,False,False,True,False,False,True,False,False,False,False
22,48000,1.0,4,30000,18.39,1,0.63,0,2,10.778977123006351,False,False,False,True,False,True,False,False,False,False
24,64000,8.0,3,30000,14.54,1,0.47,1,3,11.06665398721974,False,False,False,True,True,False,False,False,False,False
25,75000,4.0,3,30000,16.89,1,0.4,1,4,11.225256725762893,False,False,False,True,False,False,True,False,False,False
23,71500,3.0,3,30000,15.31,1,0.42,0,4,11.177466714598282,False,False,False,True,True,False,False,False,False,False
26,62050,6.0,4,30000,17.99,1,0.41,0,2,11.035711906538346,False,False,False,True,False,False,False,True,False,False
24,12000,4.0,1,2500,12.69,1,0.21,0,3,9.392745258631441,False,False,True,False,False,False,False,False,False,True
26,300000,10.0,0,20000,7.88,0,0.07,0,4,12.611541086966115,True,False,False,False,False,False,False,False,False,True
23,300000,1.0,5,24250,19.41,0,0.08,1,2,12.611541086966115,False,False,True,False,False,True,False,False,False,False
26,300000,9.0,1,10000,10.38,0,0.03,0,4,12.611541086966115,False,False,True,False,False,False,True,False,False,False
26,300000,0.0,3,25000,15.33,0,0.08,0,3,12.611541086966115,True,False,False,False,False,True,False,False,False,False
25,300000,9.0,4,18000,16.45,0,0.06,0,3,12.611541086966115,True,False,False,False,False,False,True,False,False,False
26,80690,8.0,0,30000,7.49,1,0.37,0,3,11.29838232387519,False,False,False,True,False,False,False,False,True,False
22,66300,4.0,1,30000,12.69,1,0.38,0,3,11.101960259016467,False,False,False,True,False,False,False,True,False,False
26,89028,0.0,0,30000,6.62,1,0.34,0,3,11.396717438335704,False,False,False,True,True,False,False,False,False,False
24,78000,4.0,3,30000,15.31,1,0.38,1,4,11.264476926102367,False,False,False,True,True,False,False,False,False,False
23,78000,7.0,5,30000,18.62,1,0.38,1,3,11.264476926102367,False,False,False,True,True,False,False,False,False,False
23,92004,6.0,2,30000,15.23,1,0.33,1,3,11.429598202380475,False,False,False,True,False,False,False,False,True,False
23,97000,7.0,1,30000,10.65,1,0.31,0,2,11.48247656671073,False,False,False,True,False,False,False,False,False,True
25,120000,9.0,0,30000,7.9,0,0.25,0,4,11.695255355062795,False,False,False,True,False,True,False,False,False,False
26,280000,4.0,2,10000,15.96,0,0.04,1,3,12.54254845357358,False,False,False,True,False,False,False,False,True,False
26,277104,0.0,1,20000,11.48,0,0.07,0,3,12.532151774715706,False,False,False,True,False,False,False,False,False,True
23,277000,3.0,0,35000,7.49,0,0.13,0,4,12.531776395271262,False,False,True,False,False,False,False,False,True,False
25,128000,9.0,0,30000,7.29,0,0.23,0,4,11.759793355371237,False,False,False,True,False,False,False,False,True,False
24,12000,2.0,4,1750,16.795,0,0.15,1,3,9.392745258631441,False,False,True,False,False,False,False,False,False,True
21,131000,0.0,0,30000,5.99,0,0.23,0,4,11.782960235741939,False,False,False,True,False,False,False,False,False,True
22,275000,6.0,1,12000,11.58,0,0.04,0,2,12.524530013005734,False,False,True,False,False,False,False,False,False,True
26,263000,0.0,1,10000,10.99,1,0.04,0,4,12.479913113434042,True,False,False,False,False,True,False,False,False,False
25,221850,9.0,3,25000,15.7,1,0.1,0,2,12.309761264347044,True,False,False,False,False,False,False,True,False,False
22,70000,6.0,3,29100,15.99,1,0.42,0,3,11.156264806643742,False,False,False,True,False,True,False,False,False,False
22,12000,7.0,3,1500,14.84,0,0.13,1,3,9.392745258631441,True,False,False,False,False,True,False,False,False,False
26,260000,10.0,1,28000,10.99,0,0.11,0,3,12.468440756144114,False,False,True,False,False,False,True,False,False,False
25,259000,9.0,3,20000,14.42,0,0.08,1,2,12.464587201678082,True,False,False,False,False,False,True,False,False,False
24,255000,9.0,0,9600,6.99,0,0.04,0,2,12.449022745701502,True,False,False,False,False,True,False,False,False,False
25,250000,2.0,2,25000,13.49,0,0.1,0,4,12.429220196836383,False,False,False,True,False,False,False,True,False,False
25,12000,0.0,2,3000,13.48,1,0.25,0,3,9.392745258631441,False,False,True,False,False,False,False,True,False,False
22,56950,6.0,0,28000,7.49,1,0.49,0,2,10.949946527983677,False,False,False,True,False,False,False,True,False,False
21,12000,6.0,2,3000,13.61,1,0.25,1,3,9.392745258631441,False,False,True,False,False,True,False,False,False,False
23,65000,2.0,0,28000,7.9,1,0.43,0,2,11.082157933374816,False,False,False,True,False,True,False,False,False,False
26,85000,2.0,0,28000,7.49,1,0.33,0,3,11.350418300109132,False,False,False,True,False,False,False,False,False,True
26,12000,2.0,0,6100,7.51,1,0.51,0,3,9.392745258631441,False,False,True,False,False,True,False,False,False,False
22,88000,6.0,1,28000,9.91,1,0.32,0,3,11.385103457032141,False,False,False,True,False,False,False,False,False,True
21,12000,0.0,2,4200,13.48,1,0.35,1,4,9.392745258631441,False,False,True,False,False,False,False,False,True,False
22,12000,6.0,0,4750,7.14,1,0.4,0,2,9.392745258631441,False,False,True,False,True,False,False,False,False,False
24,83004,0.0,3,28000,15.99,1,0.34,1,4,11.326656125928176,False,False,False,True,False,False,False,False,False,True
24,250000,2.0,2,18000,12.98,0,0.07,1,3,12.429220196836383,False,False,False,True,False,True,False,False,False,False
25,100000,5.0,1,28000,12.69,0,0.28,0,3,11.51293546492023,False,False,False,True,True,False,False,False,False,False
26,110000,10.0,0,28000,8.9,0,0.25,0,2,11.608244735642321,False,False,False,True,False,True,False,False,False,False
26,12000,0.0,0,2700,7.49,1,0.23,0,4,9.392745258631441,False,False,True,False,True,False,False,False,False,False
22,108000,6.0,1,28000,10.99,1,0.26,0,4,11.58989576532275,False,False,False,True,False,True,False,False,False,False
23,151200,7.0,1,28000,11.11,0,0.19,0,2,11.926365356462313,False,False,False,True,True,False,False,False,False,False
24,69000,2.0,0,27600,7.49,1,0.4,0,2,11.141876276228,False,False,False,True,False,False,True,False,False,False
21,12000,5.0,4,3250,15.68,1,0.27,1,3,9.392745258631441,True,False,False,False,True,False,False,False,False,False
22,70000,4.0,2,27500,13.06,1,0.39,1,3,11.156264806643742,False,False,False,True,False,True,False,False,False,False
22,240000,6.0,1,25000,10.99,0,0.1,0,2,12.388398368982115,False,False,True,False,False,False,False,False,True,False
26,73200,5.0,3,27050,15.62,1,0.37,1,2,11.200964361058276,False,False,False,True,False,False,False,False,False,True
24,83000,5.0,2,27000,13.49,1,0.33,1,2,11.326607934898927,False,False,False,True,False,False,False,False,True,False
24,73399,0.0,3,27000,15.31,1,0.37,0,3,11.203679214602607,False,False,False,True,False,False,False,False,False,True
23,62500,7.0,1,26000,11.71,1,0.42,0,2,11.042937835596494,False,False,False,True,False,False,False,True,False,False
23,120000,1.0,1,25600,12.69,0,0.21,0,3,11.695255355062795,False,False,False,True,False,True,False,False,False,False
24,12360,2.0,2,1600,13.57,0,0.13,0,3,9.422301633887823,False,False,True,False,False,False,False,True,False,False
22,60000,0.0,1,25475,10.99,1,0.42,0,3,11.002116507732017,False,False,False,True,False,False,False,False,False,True
25,234000,3.0,2,20000,14.27,0,0.09,1,4,12.36308066783498,True,False,False,False,False,False,False,True,False,False
24,234000,8.0,1,20000,8.88,0,0.09,0,4,12.36308066783498,False,False,True,False,False,False,True,False,False,False
26,234000,10.0,1,21600,12.18,0,0.09,0,3,12.36308066783498,True,False,False,False,False,False,True,False,False,False
25,221004,6.0,3,11900,14.42,1,0.05,1,3,12.30594060467835,True,False,False,False,True,False,False,False,False,False
26,232500,0.0,2,25000,14.17,0,0.11,1,2,12.356649805075568,True,False,False,False,False,False,False,True,False,False
25,230000,5.0,2,35000,13.99,0,0.15,0,4,12.345838935721968,True,False,False,False,False,False,False,True,False,False
23,83000,7.0,1,25300,10.99,1,0.3,0,3,11.326607934898927,False,False,False,True,False,True,False,False,False,False
25,12600,3.0,2,1750,13.61,0,0.14,0,3,9.441531454869693,False,False,True,False,False,False,False,False,True,False
21,42500,3.0,2,25000,12.73,1,0.59,1,3,10.657282884047461,False,False,False,True,False,True,False,False,False,False
24,41000,2.0,3,25000,15.31,1,0.61,0,3,10.62135173563291,False,False,False,True,False,False,True,False,False,False
25,12816,0.0,2,3000,12.87,1,0.23,1,4,9.458527693729824,False,False,True,False,True,False,False,False,False,False
24,12960,1.0,1,3650,9.91,1,0.28,0,3,9.469700127423375,True,False,False,False,False,False,True,False,False,False
26,226000,4.0,1,20000,11.49,0,0.09,0,4,12.328294703023394,True,False,False,False,False,False,True,False,False,False
25,225000,0.0,4,30000,19.91,0,0.13,1,2,12.323860125621126,True,False,False,False,False,False,True,False,False,False
26,213000,6.0,1,35000,10.65,1,0.16,0,2,12.269052139516223,True,False,False,False,False,True,False,False,False,False
24,225000,0.0,1,6000,10.99,0,0.03,0,4,12.323860125621126,False,False,False,True,False,False,False,True,False,False
24,12960,0.0,1,4500,11.83,1,0.35,0,4,9.469700127423375,True,False,False,False,True,False,False,False,False,False
23,12996,0.0,2,2400,13.49,1,0.18,1,2,9.47247384058159,False,False,True,False,True,False,False,False,False,False
22,42000,6.0,3,25000,14.59,1,0.6,1,2,10.645448706505872,False,False,False,True,False,False,False,True,False,False
26,48000,2.0,1,25000,9.64,1,0.52,0,4,10.778977123006351,False,False,False,True,False,True,False,False,False,False
25,12996,1.0,3,3600,14.59,1,0.28,0,3,9.47247384058159,False,False,True,False,False,False,False,True,False,False
22,12996,1.0,1,4750,10.99,1,0.37,0,3,9.47247384058159,False,False,True,False,False,True,False,False,False,False
25,42360,1.0,4,25000,16.35,1,0.59,1,3,10.65398340661328,False,False,False,True,False,True,False,False,False,False
21,49000,4.0,1,25000,10.99,1,0.51,0,2,10.799595985047786,False,False,False,True,False,True,False,False,False,False
25,225000,0.0,5,25000,18.67,0,0.11,0,2,12.323860125621126,True,False,False,False,False,False,False,False,False,True
26,225000,1.0,0,3000,9.32,0,0.01,0,4,12.323860125621126,False,False,False,True,False,True,False,False,False,False
23,225000,8.0,0,7500,8.63,0,0.03,0,2,12.323860125621126,False,False,False,True,True,False,False,False,False,False
26,225000,2.0,1,25000,10.08,0,0.11,0,2,12.323860125621126,True,False,False,False,False,False,False,False,False,True
22,49464,5.0,1,25000,11.83,1,0.51,0,3,10.809020627757324,False,False,False,True,False,False,False,False,True,False
23,50000,1.0,0,25000,7.9,1,0.5,0,3,10.819798284210286,False,False,False,True,True,False,False,False,False,False
25,50000,4.0,0,25000,5.99,1,0.5,0,2,10.819798284210286,False,False,False,True,False,False,True,False,False,False
24,44000,2.0,3,25000,15.33,1,0.57,0,2,10.691967639914864,False,False,False,True,True,False,False,False,False,False
23,50000,1.0,1,25000,11.83,1,0.5,0,4,10.819798284210286,False,False,False,True,False,False,False,False,False,True
22,50004,0.0,1,25000,10.36,1,0.5,0,2,10.819878279410617,False,False,False,True,False,False,False,False,False,True
22,50004,3.0,2,25000,12.23,1,0.5,0,3,10.819878279410617,False,False,False,True,False,False,False,False,False,True
22,52000,2.0,1,25000,11.11,1,0.48,0,4,10.859018228147887,False,False,False,True,False,True,False,False,False,False
23,13200,3.0,0,4950,7.9,1,0.38,0,4,9.488047863280759,False,False,True,False,True,False,False,False,False,False
24,220000,1.0,1,25000,11.58,0,0.11,0,2,12.301387370778713,True,False,False,False,False,True,False,False,False,False
23,216000,5.0,0,21000,8.9,0,0.1,0,3,12.283038316285214,True,False,False,False,True,False,False,False,False,False
25,216000,2.0,3,25000,16.07,0,0.12,0,3,12.283038316285214,True,False,False,False,False,True,False,False,False,False
26,216000,10.0,2,20000,14.22,0,0.09,1,2,12.283038316285214,True,False,False,False,False,True,False,False,False,False
23,215000,7.0,2,35000,14.79,0,0.16,1,3,12.278397958261774,True,False,False,False,False,False,False,True,False,False
26,215000,11.0,0,12000,7.88,0,0.06,0,2,12.278397958261774,True,False,False,False,False,True,False,False,False,False
23,52000,1.0,2,25000,13.22,1,0.48,0,2,10.859018228147887,False,False,False,True,False,False,False,False,True,False
26,46000,2.0,3,25000,11.86,1,0.54,0,4,10.736418414365376,False,False,False,True,True,False,False,False,False,False
22,53000,5.0,2,25000,13.43,1,0.47,1,4,10.87806606028079,False,False,False,True,False,True,False,False,False,False
26,47000,0.0,3,25000,15.28,1,0.53,1,2,10.757924157061597,False,False,False,True,False,False,True,False,False,False
23,47000,1.0,4,25000,17.93,1,0.53,0,2,10.757924157061597,False,False,False,True,False,False,False,False,False,True
23,13200,2.0,1,1400,9.25,0,0.11,0,4,9.488047863280759,True,False,False,False,False,True,False,False,False,False
21,13200,0.0,2,4500,12.98,1,0.34,0,4,9.488047863280759,False,False,True,False,False,False,False,False,False,True
22,210000,6.0,1,16000,10.62,0,0.08,0,4,12.25486757159303,True,False,False,False,False,False,False,False,False,True
26,210000,10.0,1,22000,11.83,0,0.1,0,4,12.25486757159303,False,False,True,False,False,False,False,False,True,False
26,48000,5.0,5,25000,18.43,1,0.52,0,2,10.778977123006351,False,False,False,True,False,False,False,False,False,True
22,54996,6.0,1,25000,10.99,1,0.45,0,4,10.915033917272405,False,False,False,True,False,True,False,False,False,False
24,55000,4.0,3,25000,15.31,1,0.45,1,4,10.915106645867503,False,False,False,True,False,False,True,False,False,False
23,55000,4.0,1,25000,11.36,1,0.45,0,3,10.915106645867503,False,False,False,True,False,True,False,False,False,False
23,55000,4.0,3,25000,15.65,1,0.45,1,3,10.915106645867503,False,False,False,True,False,True,False,False,False,False
24,55164,8.0,2,25000,13.22,1,0.45,1,4,10.918083973194406,False,False,False,True,False,False,False,False,True,False
26,56000,4.0,2,25000,12.87,1,0.45,0,2,10.933124826700707,False,False,False,True,True,False,False,False,False,False
24,203500,8.0,2,20000,13.04,0,0.1,0,3,12.223426197857627,False,False,True,False,False,False,False,True,False,False
23,190000,5.0,5,22000,17.58,1,0.12,1,3,12.154784614286667,True,False,False,False,False,True,False,False,False,False
23,13920,2.0,4,7750,17.04,1,0.56,0,4,9.541153770388567,False,False,True,False,False,False,False,False,True,False
24,60000,0.0,1,25000,10.99,1,0.42,0,3,11.002116507732017,False,False,False,True,False,False,False,False,True,False
24,60000,2.0,1,25000,11.11,1,0.42,0,3,11.002116507732017,False,False,False,True,False,False,False,False,True,False
26,54000,7.0,3,25000,14.83,1,0.46,1,2,10.896757843893464,False,False,False,True,True,False,False,False,False,False
23,14000,2.0,3,4000,15.31,1,0.29,0,3,9.546884034617925,False,False,True,False,True,False,False,False,False,False
24,200000,8.0,1,12000,12.69,0,0.06,0,2,12.206077645517674,False,False,False,True,False,False,False,True,False,False
24,200000,8.0,2,12000,13.49,0,0.06,0,2,12.206077645517674,True,False,False,False,False,False,True,False,False,False
21,200000,5.0,2,16000,14.65,0,0.08,0,4,12.206077645517674,True,False,False,False,False,True,False,False,False,False
25,54000,3.0,4,25000,16.82,1,0.46,0,4,10.896757843893464,False,False,False,True,False,False,True,False,False,False
23,60000,3.0,2,25000,12.73,1,0.42,0,3,11.002116507732017,False,False,False,True,False,False,False,False,True,False
23,60000,7.0,1,25000,10.25,1,0.42,0,4,11.002116507732017,False,False,False,True,False,False,False,False,True,False
21,60000,6.0,1,25000,10.99,1,0.42,0,4,11.002116507732017,False,False,False,True,False,True,False,False,False,False
25,61959,9.0,2,25000,12.73,1,0.4,0,2,11.034244294530804,False,False,False,True,False,False,False,True,False,False
22,56400,2.0,3,25000,14.96,1,0.44,1,3,10.94024216782542,False,False,False,True,False,False,True,False,False,False
23,200000,7.0,0,28000,7.49,0,0.14,0,2,12.206077645517674,True,False,False,False,False,True,False,False,False,False
21,200000,2.0,2,25000,13.99,0,0.13,0,2,12.206077645517674,True,False,False,False,True,False,False,False,False,False
24,200000,3.0,0,24000,7.49,0,0.12,0,4,12.206077645517674,True,False,False,False,False,False,False,False,False,True
26,200000,4.0,2,15000,14.79,0,0.07,0,3,12.206077645517674,True,False,False,False,False,True,False,False,False,False
25,200000,2.0,1,15500,11.99,0,0.08,0,2,12.206077645517674,True,False,False,False,True,False,False,False,False,False
24,200000,8.0,0,10000,8.49,0,0.05,0,4,12.206077645517674,False,False,False,True,False,True,False,False,False,False
24,66000,3.0,1,25000,9.91,1,0.38,0,2,11.097425172408931,False,False,False,True,False,True,False,False,False,False
22,66000,6.0,2,25000,13.06,1,0.38,1,3,11.097425172408931,False,False,False,True,False,True,False,False,False,False
22,200000,6.0,0,9000,6.17,0,0.04,0,4,12.206077645517674,True,False,False,False,True,False,False,False,False,False
25,200000,5.0,3,18000,16.32,0,0.09,0,3,12.206077645517674,False,False,False,True,False,True,False,False,False,False
25,200000,2.0,1,12000,10.38,0,0.06,0,2,12.206077645517674,True,False,False,False,False,False,False,False,False,True
25,200000,9.0,2,23050,14.35,0,0.12,0,3,12.206077645517674,True,False,False,False,False,False,False,False,True,False
24,200000,8.0,1,20000,10.99,0,0.1,0,3,12.206077645517674,True,False,False,False,True,False,False,False,False,False
24,60000,2.0,4,25000,16.795,1,0.42,1,2,11.002116507732017,False,False,False,True,True,False,False,False,False,False
21,14400,0.0,1,3000,10.99,1,0.21,0,4,9.575052927597383,False,False,True,False,False,False,True,False,False,False
26,66996,10.0,3,25000,15.21,1,0.37,1,2,11.11240312125122,False,False,False,True,False,False,False,False,True,False
23,67000,3.0,0,25000,7.9,1,0.37,0,4,11.112462823634855,False,False,False,True,False,True,False,False,False,False
24,67000,2.0,1,25000,10.99,1,0.37,0,3,11.112462823634855,False,False,False,True,False,False,False,False,False,True
24,68000,5.0,3,25000,14.09,1,0.37,1,3,11.127277689932466,False,False,False,True,False,False,False,False,True,False
25,69000,9.0,3,25000,17.49,1,0.36,0,2,11.141876276228,False,False,False,True,False,False,False,False,True,False
25,200000,0.0,1,12000,11.48,0,0.06,0,3,12.206077645517674,True,False,False,False,False,True,False,False,False,False
26,188000,10.0,4,20000,17.74,1,0.11,0,2,12.144202560946876,True,False,False,False,False,False,False,False,False,True
26,200000,4.0,2,3000,13.92,0,0.01,0,3,12.206077645517674,True,False,False,False,False,False,False,False,True,False
25,69996,9.0,3,25000,15.21,1,0.36,0,3,11.156207662970246,False,False,False,True,False,True,False,False,False,False
22,14400,2.0,1,4000,10.99,1,0.28,0,3,9.575052927597383,False,False,True,False,False,False,False,True,False,False
24,70000,3.0,1,25000,11.86,1,0.36,0,4,11.156264806643742,False,False,False,True,False,True,False,False,False,False
24,14400,5.0,0,6000,7.49,1,0.42,0,3,9.575052927597383,False,False,True,False,False,False,False,False,True,False
24,56100,7.0,3,25000,16.49,1,0.38,0,4,10.934908916663861,False,False,False,True,False,False,False,True,False,False
25,66000,9.0,3,25000,15.33,1,0.38,1,2,11.097425172408931,False,False,False,True,False,False,False,False,False,True
26,66000,3.0,1,25000,11.58,1,0.38,0,4,11.097425172408931,False,False,False,True,False,False,True,False,False,False
25,14400,7.0,0,5375,5.79,1,0.37,0,2,9.575052927597383,False,False,True,False,False,True,False,False,False,False
25,72612,9.0,2,25000,13.11,1,0.34,0,2,11.192899248143839,False,False,False,True,False,False,False,True,False,False
23,74000,3.0,1,25000,10.36,1,0.34,0,3,11.211833885608513,False,False,False,True,False,False,False,True,False,False
25,75000,9.0,1,25000,10.36,1,0.33,0,2,11.225256725762893,False,False,False,True,True,False,False,False,False,False
24,192000,0.0,2,22000,13.48,0,0.11,1,2,12.165255859329688,False,False,False,True,False,False,False,True,False,False
25,191000,1.0,1,10000,12.53,0,0.05,0,4,12.160033942617156,True,False,False,False,False,False,False,True,False,False
26,190300,5.0,0,15000,7.49,0,0.08,0,3,12.15636230813118,True,False,False,False,False,False,False,False,True,False
22,190000,3.0,2,10000,13.48,0,0.05,0,3,12.154784614286667,True,False,False,False,False,False,False,False,False,True
24,75000,4.0,1,25000,10.25,1,0.33,0,4,11.225256725762893,False,False,False,True,False,True,False,False,False,False
22,71000,1.0,3,25000,15.95,1,0.35,1,4,11.170449240431308,False,False,False,True,False,True,False,False,False,False
26,190000,3.0,1,20000,12.18,0,0.11,0,4,12.154784614286667,True,False,False,False,False,False,False,False,False,True
23,189996,0.0,1,24000,11.83,0,0.13,0,3,12.154763561544284,False,False,True,False,False,False,False,False,True,False
23,78000,7.0,2,25000,13.48,1,0.32,1,2,11.264476926102367,False,False,False,True,True,False,False,False,False,False
23,78000,1.0,1,25000,10.62,1,0.32,0,3,11.264476926102367,False,False,False,True,False,False,False,False,False,True
23,78504,7.0,1,25000,10.74,1,0.32,0,3,11.270917596009623,False,False,False,True,False,False,False,False,False,True
25,186000,9.0,1,10000,10.25,0,0.05,0,4,12.133507329024972,False,False,True,False,False,False,False,False,False,True
25,185000,6.0,2,15000,15.27,0,0.08,0,2,12.128116509451258,False,False,False,True,False,False,False,False,False,True
24,62050,8.0,3,25000,15.33,1,0.34,1,2,11.035711906538346,False,False,False,True,False,False,False,True,False,False
23,79416,7.0,3,25000,15.21,1,0.31,1,2,11.282467730111303,False,False,False,True,False,False,False,False,False,True
21,14400,4.0,2,6250,14.72,1,0.43,0,2,9.575052927597383,False,False,True,False,False,False,False,False,False,True
24,79631,8.0,3,25000,15.7,1,0.31,1,2,11.285171301098336,False,False,False,True,False,False,False,False,True,False
24,79632,0.0,2,25000,13.35,1,0.31,0,4,11.28518385878521,False,False,False,True,False,True,False,False,False,False
21,14400,0.0,2,1500,13.48,0,0.1,0,4,9.575052927597383,True,False,False,False,False,False,False,True,False,False
24,80000,6.0,0,25000,6.62,1,0.31,0,2,11.289794413577894,False,False,False,True,False,True,False,False,False,False
26,80000,5.0,2,25000,13.61,1,0.31,0,4,11.289794413577894,False,False,False,True,True,False,False,False,False,False
22,185000,4.0,1,25000,11.36,0,0.14,0,2,12.128116509451258,False,False,False,True,False,False,False,True,False,False
26,185000,10.0,0,5000,7.68,0,0.03,0,2,12.128116509451258,False,False,True,False,False,False,False,False,True,False
24,184992,7.0,3,22000,14.46,0,0.12,1,4,12.128073265506755,False,False,False,True,False,False,True,False,False,False
23,184000,5.0,1,2500,11.83,0,0.01,0,2,12.122696471358964,False,False,True,False,False,True,False,False,False,False
24,172000,6.0,2,20000,13.47,1,0.12,1,4,12.055255569732177,True,False,False,False,True,False,False,False,False,False
24,183000,2.0,1,20000,11.49,0,0.11,0,3,12.117246896289503,True,False,False,False,False,False,False,True,False,False
22,183000,3.0,0,1000,7.49,0,0.01,0,2,12.117246896289503,True,False,False,False,False,True,False,False,False,False
25,182952,9.0,0,15000,6.03,0,0.08,0,3,12.116984568235837,True,False,False,False,False,False,False,False,True,False
23,74004,7.0,4,25000,16.35,1,0.34,0,4,11.211887937471289,False,False,False,True,True,False,False,False,False,False
26,74004,10.0,3,25000,15.31,1,0.34,1,4,11.211887937471289,False,False,False,True,True,False,False,False,False,False
25,81000,5.0,0,25000,7.29,1,0.31,0,3,11.302216779257382,False,False,False,True,True,False,False,False,False,False
23,81600,1.0,1,25000,11.36,1,0.31,0,3,11.309596795779068,False,False,False,True,False,False,False,True,False,False
24,82000,8.0,1,25000,10.25,0,0.3,0,2,11.314486721293981,False,False,False,True,False,False,False,False,False,True
24,83000,5.0,1,25000,11.12,0,0.3,0,3,11.326607934898927,False,False,False,True,False,True,False,False,False,False
24,83000,5.0,3,25000,12.92,0,0.3,1,3,11.326607934898927,False,False,False,True,False,False,False,False,True,False
24,180000,8.0,4,18000,18.64,0,0.1,1,4,12.100717685412471,False,False,False,True,False,True,False,False,False,False
